Site;Latitude;Longitude;Date; PM25; PM10; O3; NO2; SO2; 
Thailand;13.76251667;100.5502;2023/10/01;58;21;10;12; ; 
Thailand;13.76251667;100.5502;2023/10/02;33;24;12;11; ; 
Thailand;13.76251667;100.5502;2023/10/03;47;19;7;14; ; 
Thailand;13.76251667;100.5502;2023/10/04;66;31;14;18; ; 
Thailand;13.76251667;100.5502;2023/10/05;71;18;9;12; ; 
Thailand;13.76251667;100.5502;2023/10/06;43;24;9; ; ; 
Thailand;13.76251667;100.5502;2023/10/07;45;18;10;9; ; 
Thailand;13.76251667;100.5502;2023/10/08;55;31;17;15; ; 
Thailand;13.76251667;100.5502;2023/10/09;72;35;12;21; ; 
Thailand;13.76251667;100.5502;2023/10/10;61;25;9;18; ; 
Thailand;13.76251667;100.5502;2023/10/11;43;32;17;21; ; 
Thailand;13.76251667;100.5502;2023/10/12;61;37;18;22; ; 
Thailand;13.76251667;100.5502;2023/10/13;86;33;25;22; ; 
Thailand;13.76251667;100.5502;2023/10/14;68;29;22;20; ; 
Thailand;13.76251667;100.5502;2023/10/15;76;31;22;24; ; 
Thailand;13.76251667;100.5502;2023/10/16;87;46;25;25; ; 
Thailand;13.76251667;100.5502;2023/10/17;111;54;28;27; ; 
Thailand;13.76251667;100.5502;2023/10/18;124;36;14;27; ; 
Thailand;13.76251667;100.5502;2023/10/19;94;56;23;29; ; 
Thailand;13.76251667;100.5502;2023/10/20;117;44;14;22; ; 
Thailand;13.76251667;100.5502;2023/10/21;87;28;16;17; ; 
Thailand;13.76251667;100.5502;2023/10/22;68;35;26;22; ; 
Thailand;13.76251667;100.5502;2023/10/23;93;46;21;27;1; 
Thailand;13.76251667;100.5502;2023/10/24;105;33;20;25; ; 
Thailand;13.76251667;100.5502;2023/10/25;89;27;19;19; ; 
Thailand;13.76251667;100.5502;2023/10/26;78;21;12;17; ; 
Thailand;13.76251667;100.5502;2023/10/27;69;34;10;15; ; 
Thailand;13.76251667;100.5502;2023/10/28;77;36;17;17;2; 
Thailand;13.76251667;100.5502;2023/10/29;83;31;14;17;1; 
Thailand;13.76251667;100.5502;2023/10/30;69;25;14;16;1; 
Thailand;13.76251667;100.5502;2023/10/31;58;35;21;24;1; 
Thailand;13.76251667;100.5502;2023/11/01;72;32;20;17;2; 
Thailand;13.76251667;100.5502;2023/11/02;84;42;27;22;3; 
Thailand;13.76251667;100.5502;2023/11/03;97;48;16;28;2; 
Thailand;13.76251667;100.5502;2023/11/04;117;36;16;15;1; 
Thailand;13.76251667;100.5502;2023/11/05;88;36;15;20;1; 
Thailand;13.76251667;100.5502;2023/11/06;87;27;16;22; ; 
Thailand;13.76251667;100.5502;2023/11/07;64;32;22;21;1; 
Thailand;13.76251667;100.5502;2023/11/08;76;34;11;21; ; 
Thailand;13.76251667;100.5502;2023/11/09;79;46;13;15;1; 
Thailand;13.76251667;100.5502;2023/11/10;89;33;12;10;2; 
Thailand;13.76251667;100.5502;2023/11/11;77;29;11;15;1; 
Thailand;13.76251667;100.5502;2023/11/12;70;32;12;19;1; 
Thailand;13.76251667;100.5502;2023/11/13;71;26;16;15; ; 
Thailand;13.76251667;100.5502;2023/11/14;59;25;17;16; ; 
Thailand;13.76251667;100.5502;2023/11/15;60;26;15;14; ; 
Thailand;13.76251667;100.5502;2023/11/16;56;25;19;18; ; 
Thailand;13.76251667;100.5502;2023/11/17;53;46;23;14; ; 
Thailand;13.76251667;100.5502;2023/11/18;84;50;27;6; ; 
Thailand;13.76251667;100.5502;2023/11/19;102;50;27;5; ; 
Thailand;13.76251667;100.5502;2023/11/20;104;53;31;7; ; 
Thailand;13.76251667;100.5502;2023/11/21;103;54;29;15; ; 
Thailand;13.76251667;100.5502;2023/11/22;119;54;21;23; ; 
Thailand;13.76251667;100.5502;2023/11/23;111;55;5;19; ; 
Thailand;13.76251667;100.5502;2023/11/24;110;42;25;4; ; 
Thailand;13.76251667;100.5502;2023/11/25;84;49;26;13; ; 
Thailand;13.76251667;100.5502;2023/11/26;100;30;18;9; ; 
Thailand;13.76251667;100.5502;2023/11/27;74;51;26;2; ; 
Thailand;13.76251667;100.5502;2023/11/28;105;62;23;1; ; 
Thailand;13.76251667;100.5502;2023/11/29;133;57;19;1; ; 
Thailand;13.76251667;100.5502;2023/11/30;119;42;18;4; ; 
Thailand;13.76251667;100.5502;2023/12/01;84;39;15;1; ; 
Thailand;13.76251667;100.5502;2023/12/02;69;34;20; ; ; 
Thailand;13.76251667;100.5502;2023/12/03;72;30;18;6; ; 
Thailand;13.76251667;100.5502;2023/12/04;73;41;22; ; ; 
Thailand;13.76251667;100.5502;2023/12/05;100;40;24;17; ; 
Thailand;13.76251667;100.5502;2023/12/06;90;34;17;17; ; 
Thailand;13.76251667;100.5502;2023/12/07;58;41;23;26; ; 
Thailand;13.76251667;100.5502;2023/12/08;64;49;35;30; ; 
Thailand;13.76251667;100.5502;2023/12/09;110;59;34;13; ; 
Thailand;13.76251667;100.5502;2023/12/10;145;46;28;1; ; 
Thailand;13.76251667;100.5502;2023/12/11;111;56;23;1; ; 
Thailand;13.76251667;100.5502;2023/12/12;131;45;16;1; ; 
Thailand;13.76251667;100.5502;2023/12/13;111;45;16;1; ; 
Thailand;13.76251667;100.5502;2023/12/14;80;53;20;1; ; 
Thailand;13.76251667;100.5502;2023/12/15;111;58;21;1; ; 
Thailand;13.76251667;100.5502;2023/12/16;116;47;16;1; ; 
Thailand;13.76251667;100.5502;2023/12/17;101;37;21;1; ; 
Thailand;13.76251667;100.5502;2023/12/18;74;48;20;1; ; 
Thailand;13.76251667;100.5502;2023/12/19;96;47;25;1; ; 
Thailand;13.76251667;100.5502;2023/12/20;91;36;23; ; ; 
Thailand;13.76251667;100.5502;2023/12/21;67;45;24;1; ; 
Thailand;13.76251667;100.5502;2023/12/22;76;54;24;1; ; 
Thailand;13.76251667;100.5502;2023/12/23;96;54;20;1; ; 
Thailand;13.76251667;100.5502;2023/12/24;105;55;24;1; ; 
Thailand;13.76251667;100.5502;2023/12/25;115;60;25;2; ; 
Thailand;13.76251667;100.5502;2023/12/26;131;56;27;1; ; 
Thailand;13.76251667;100.5502;2023/12/27;125;53;26;1; ; 
Thailand;13.76251667;100.5502;2023/12/28;121;49;24;1; ; 
Thailand;13.76251667;100.5502;2023/12/29;117;50;30;1; ; 
Thailand;13.76251667;100.5502;2023/12/30;124;44;25;1; ; 
Thailand;13.76251667;100.5502;2023/12/31;118;41;19;1; ; 
Thailand;13.76251667;100.5502;2023/07/01;45;14;13;5; ; 
Thailand;13.76251667;100.5502;2023/07/02;26;20;16;10; ; 
Thailand;13.76251667;100.5502;2023/07/03;45;29;8;9; ; 
Thailand;13.76251667;100.5502;2023/07/04;62;33;13;16; ; 
Thailand;13.76251667;100.5502;2023/07/05;69;36;22;13; ; 
Thailand;13.76251667;100.5502;2023/07/06;63;22;20;11; ; 
Thailand;13.76251667;100.5502;2023/07/07;57;26;18;8; ; 
Thailand;13.76251667;100.5502;2023/07/08;53;28;9;11; ; 
Thailand;13.76251667;100.5502;2023/07/09;65;21;10;9; ; 
Thailand;13.76251667;100.5502;2023/07/10;52;21;13;11; ; 
Thailand;13.76251667;100.5502;2023/07/11;48;23;14;14; ; 
Thailand;13.76251667;100.5502;2023/07/12;59;25;15;11; ; 
Thailand;13.76251667;100.5502;2023/07/13;55;25;11;9; ; 
Thailand;13.76251667;100.5502;2023/07/14;54;34;11;9; ; 
Thailand;13.76251667;100.5502;2023/07/15;65;26;11;7; ; 
Thailand;13.76251667;100.5502;2023/07/16;63;13;13;7; ; 
Thailand;13.76251667;100.5502;2023/07/17;34;17;12;8; ; 
Thailand;13.76251667;100.5502;2023/07/18;44;22;11;7; ; 
Thailand;13.76251667;100.5502;2023/07/19;56;33;13;11; ; 
Thailand;13.76251667;100.5502;2023/07/20;73;25;14;10; ; 
Thailand;13.76251667;100.5502;2023/07/21;67;22;16;12; ; 
Thailand;13.76251667;100.5502;2023/07/22;60;18;13;11; ; 
Thailand;13.76251667;100.5502;2023/07/23;51;26;15;8; ; 
Thailand;13.76251667;100.5502;2023/07/24;56;29;13;10; ; 
Thailand;13.76251667;100.5502;2023/07/25;55;30;13;9; ; 
Thailand;13.76251667;100.5502;2023/07/26;58;32;10;6; ; 
Thailand;13.76251667;100.5502;2023/07/27;53;35;9;7; ; 
Thailand;13.76251667;100.5502;2023/07/28;60;26;11;7; ; 
Thailand;13.76251667;100.5502;2023/07/29;55;20;9;6; ; 
Thailand;13.76251667;100.5502;2023/07/30;58;22;8;3; ; 
Thailand;13.76251667;100.5502;2023/07/31;54;30;9;5; ; 
Thailand;13.76251667;100.5502;2023/08/01;60;34;7;4; ; 
Thailand;13.76251667;100.5502;2023/08/02;67;30;10; ; ; 
Thailand;13.76251667;100.5502;2023/08/03;72;42;14;8; ; 
Thailand;13.76251667;100.5502;2023/08/04;78;29;12;7; ; 
Thailand;13.76251667;100.5502;2023/08/05;63;28;9;6; ; 
Thailand;13.76251667;100.5502;2023/08/06;62;31;9;8; ; 
Thailand;13.76251667;100.5502;2023/08/07;60;29;8;7; ; 
Thailand;13.76251667;100.5502;2023/08/08;61;28;11;6; ; 
Thailand;13.76251667;100.5502;2023/08/09;64;31;17;6; ; 
Thailand;13.76251667;100.5502;2023/08/10;70;35;16;8; ; 
Thailand;13.76251667;100.5502;2023/08/11;60;44;11;9; ; 
Thailand;13.76251667;100.5502;2023/08/12;73;42;15;7; ; 
Thailand;13.76251667;100.5502;2023/08/13;66;43;13;8; ; 
Thailand;13.76251667;100.5502;2023/08/14;67;34;13;9; ; 
Thailand;13.76251667;100.5502;2023/08/15;68;27;15;10; ; 
Thailand;13.76251667;100.5502;2023/08/16;63;27;16;11; ; 
Thailand;13.76251667;100.5502;2023/08/17;61;30;13;11; ; 
Thailand;13.76251667;100.5502;2023/08/18;63;36;16;11; ; 
Thailand;13.76251667;100.5502;2023/08/19;67;31;15;10; ; 
Thailand;13.76251667;100.5502;2023/08/20;68;25;12;12; ; 
Thailand;13.76251667;100.5502;2023/08/21;55;30;19;11; ; 
Thailand;13.76251667;100.5502;2023/08/22;61;28;13;11; ; 
Thailand;13.76251667;100.5502;2023/08/23;63;26;10;8; ; 
Thailand;13.76251667;100.5502;2023/08/24;66;24;14;10; ; 
Thailand;13.76251667;100.5502;2023/08/25;62;27;10;9; ; 
Thailand;13.76251667;100.5502;2023/08/26;66;26;11;9; ; 
Thailand;13.76251667;100.5502;2023/08/27;54;32;13;6; ; 
Thailand;13.76251667;100.5502;2023/08/28;54;28;15;7; ; 
Thailand;13.76251667;100.5502;2023/08/29;53;22;14;10; ; 
Thailand;13.76251667;100.5502;2023/08/30;55;36;15;12; ; 
Thailand;13.76251667;100.5502;2023/08/31;70;29;11;11; ; 
Thailand;13.76251667;100.5502;2023/09/01;66;36;14;11; ; 
Thailand;13.76251667;100.5502;2023/09/02;73;28;17;8; ; 
Thailand;13.76251667;100.5502;2023/09/03;64;20;16;10; ; 
Thailand;13.76251667;100.5502;2023/09/04;52;19;11;8; ; 
